,site_number,address
305,02128000,"LITTLE RIVER NEAR STAR, NC"
306,0212880025,"PEE DEE RIVER BELOW POWERHOUSE DAM NR PEE DEE, NC"
307,02129000,"PEE DEE R NR ROCKINGHAM, NC"
308,02129375,"PEE DEE RIVER ABOVE JONES CREEK NEAR CORDOVA, NC"
309,02132320,"BIG SHOE HEEL CREEK NR LAURINBURG, NC"
310,02133500,"DROWNING CREEK NEAR HOFFMAN, NC"
311,02133624,"LUMBER RIVER NEAR MAXTON, NC"
312,02133651,"LUMBER RIVER AT STATE HIGHWAY 710 NR PEMBROKE, NC"
313,02134170,"LUMBER RIVER AT LUMBERTON, NC"
314,02134480,"BIG SWAMP NR TAR HEEL, NC"
315,02134500,"LUMBER RIVER AT BOARDMAN, NC"
316,02137727,"CATAWBA R NR PLEASANT GARDENS, NC"
317,02138500,"LINVILLE RIVER NEAR NEBO, NC"
318,02138520,"CATAWBA R AT SR1223 BL LK JAMES NR BRIDGEWATER, NC"
319,0213903612,"CATAWBA RIVER AT CALVIN, NC"
320,02140991,"JOHNS RIVER AT ARNEYS STORE, NC"
321,02141500,"CATAWBA RIVER AT RHODHISS, NC"
322,0214183365,"UPPER LITTLE R AT SR1740 AT PETRA MILLS, NC"
323,0214192500,"MIDDLE LITTLE R AT MORETZ DAM NR BETHLEHEM, NC"
324,0214196125,"CATAWBA RIVER AT NC HIGHWAY 16 NR MILLERSVILLE, NC"
325,02142000,"LOWER LITTLE RIVER NR ALL HEALING SPRINGS, NC"
326,0214244102,"CATAWBA RIVER BL LOOKOUT SHOALS DAM NR SHARON, NC"
327,0214253361,"BALLS CREEK NEAR LONG ISLAND, NC"
328,0214253830,"NORWOOD CREEK NR TROUTMAN, NC"
329,0214264790,"CATAWBA R AT RR BRIDGE AB NC 73 AT COWANS FORD, NC"
330,02142651,MCDWELL CR AT WESTMRLND RD NR CORNELIUS (CSW09)
331,02142654,"MCDOWELL CREEK NR HUNTERSVILLE, NC"
332,0214265808,"TORRENCE CR AT BRADFORD HILL LN NR HUNTERSVLLE, NC"
333,0214265828,"MCDOWELL CR TRIB AT SR2131 NR HICKS CROSSROADS, NC"
334,0214266000,"MCDOWELL CREEK NR CHARLOTTE, NC (CSW10)"
335,0214266080,"GAR CREEK AT SR2074 NR CROFT, NC"
336,0214267602,"CATAWBA RIVER DNSTRM DECK MTN IS DAM NR MTN IS, NC"
337,0214269560,"KILLIAN CREEK NEAR MARIPOSA, NC"
338,02142900,"LONG CREEK NEAR PAW CREEK, NC"
339,02142914,"GUM BRANCH NEAR THRIFT, NC"
340,0214291555,"LONG CREEK NR RHYNE, NC"
341,0214295600,"PAW CR AT WILKINSON BLVD NR CHARLOTTE, NC"
342,0214297160,"BEAVERDAM CREEK AB WINDY GAP ROAD NR SHOPTON, NC"
343,02143000,"HENRY FORK NEAR HENRY RIVER, NC"
344,02143040,"JACOB FORK AT RAMSEY, NC"
345,02143500,"INDIAN CREEK NEAR LABORATORY, NC"
346,02144000,"LONG CREEK NEAR BESSEMER CITY, NC"
347,02145000,"SOUTH FORK CATAWBA RIVER AT LOWELL, NC"
348,02145268,"DUHARTS CREEK AT SR 2439 NEAR CRAMERTON, NC"
349,02146211,"IRWIN CR AT STATESVILLE AVE AT CHARLOTTE, NC"
350,0214627970,"STEWART CREEK AT STATE ST AT CHARLOTTE, NC"
351,02146285,"STEWART CREEK AT WEST MOREHEAD ST AT CHARLOTTE, NC"
352,02146300,"IRWIN CREEK NEAR CHARLOTTE, NC"
353,02146315,"TAGGART CREEK AT WEST BOULEVARD NR CHARLOTTE, NC"
354,02146330,"SUGAR CREEK AT ARROWOOD ROAD NEAR CHARLOTTE, NC"
355,02146348,"COFFEY CREEK NR CHARLOTTE, NC"
356,02146381,"SUGAR CREEK AT NC 51 NEAR PINEVILLE, NC"
357,0214640410,"LITTLE SUGAR CR BL 36TH STREET NEAR CHARLOTTE, NC"
358,02146409,"LTL SUGAR CR AT MEDICAL CENTER DR AT CHARLOTTE, NC"
359,02146420,"LITTLE SUGAR CR AT HILLSIDE AVE, CHARLOTTE, NC"
360,0214642825,"BRIAR CREEK NEAR CHARLOTTE, NC"
361,0214643770,"BRIAR CR AT INDEPENDENCE BLVD AT CHARLOTTE, NC"
362,0214643820,"EDWARDS BRANCH AT SHEFFIELD DR AT CHARLOTTE, NC"
363,0214643860,"BRIAR CR BL EDWARDS BRANCH NEAR CHARLOTTE, NC"
364,02146449,"BRIAR CREEK AT PROVIDENCE ROAD AT CHARLOTTE, NC"
365,0214645022,"BRIAR CR ABOVE COLONY RD AT CHARLOTTE, NC"
366,0214645075,"TRIB TO BRIAR CREEK AT COLONY RD AT CHARLOTTE, NC"
367,0214645080,"TRIB TO BRIAR CR AT RUNNYMEDE LN AT CHARLOTTE, NC"
368,02146470,"LITTLE HOPE CR AT SENECA PLACE AT CHARLOTTE, NC"
369,02146507,"LITTLE SUGAR C AT ARCHDALE DR AT CHARLOTTE, NC"
370,02146530,"LITTLE SUGAR CREEK AT PINEVILLE, NC"
371,0214655255,"MCALPINE CREEK AT SR3150 NR IDLEWILD, NC"
372,02146562,"CAMPBELL CREEK NR CHARLOTTE, NC"
373,0214657975,"IRVINS CREEK AT SR3168 NR CHARLOTTE, NC"
374,02146600,"MCALPINE CR AT SARDIS ROAD NEAR CHARLOTTE, NC"
375,02146614,"MCALPINE CR AT COLONY RD NEAR OLDE PROVIDENCE, NC"
376,02146670,"FOUR MILE CREEK NEAR PINEVILLE, NC"
377,0214668150,"MCMULLEN CR ABOVE LINCREST PLACE AT CHARLOTTE, NC"
378,02146700,"MCMULLEN CR AT SHARON VIEW RD NEAR CHARLOTTE, NC"
